NDC,Medication_Name,Strength,Form,Route,DEA_Class,Simple_Generic_1,Pharm_Class_1,Thera_Class_1
54055125,OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET,5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
54279525,OXYCODONE-ACETAMINOPHEN 5 MG-500 MG CAPSULE,5-500 mg,Capsule,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
54309036,BUTORPHANOL TARTRATE 10 MG/ML NASAL SPRAY,10 mg/mL,"Spray, Non-Aerosol",Nasal,C-IV,butorphanol tartrate,OPIOID ANALGESICS,ANALGESICS
54354563,MEPERIDINE 50 MG/5 ML ORAL SOLUTION,50 mg/5 mL,Solution,Oral,C-II,meperidine HCl,OPIOID ANALGESICS,ANALGESICS
54355344,METHADONE INTENSOL 10 MG/ML ORAL CONCENTRATE,10 mg/mL,Concentrate,Oral,C-II,methadone HCl,OPIOID ANALGESICS,ANALGESICS
54355563,METHADONE 5 MG/5 ML ORAL SOLN,5 mg/5 mL,Solution,Oral,C-II,methadone HCl,OPIOID ANALGESICS,ANALGESICS
54355663,METHADONE 10 MG/5 ML ORAL SOLUTION,10 mg/5 mL,Solution,Oral,C-II,methadone HCl,OPIOID ANALGESICS,ANALGESICS
54368663,ROXICET 5 MG-325 MG/5 ML ORAL SOLUTION,5-325 mg/5 mL,Solution,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
54457025,METHADONE 5 MG TABLET,5 MG,Tablet,Oral,C-II,methadone HCl,OPIOID ANALGESICS,ANALGESICS
54457125,METHADONE 10 MG TABLET,10 MG,Tablet,Oral,C-II,methadone HCl,OPIOID ANALGESICS,ANALGESICS
54459525,MEPERIDINE 50 MG TABLET,50 mg,Tablet,Oral,C-II,meperidine HCl,OPIOID ANALGESICS,ANALGESICS
54459625,MEPERIDINE 100 MG TABLET,100 MG,Tablet,Oral,C-II,meperidine HCl,OPIOID ANALGESICS,ANALGESICS
54465025,ROXICET 5 MG-325 MG TABLET,5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
54465029,ROXICET 5 MG-325 MG TABLET,5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
54855324,METHADONE 5 MG TABLET,5 MG,Tablet,Oral,C-II,methadone HCl,OPIOID ANALGESICS,ANALGESICS
54855424,METHADONE 10 MG TABLET,10 MG,Tablet,Oral,C-II,methadone HCl,OPIOID ANALGESICS,ANALGESICS
54859511,MEPERIDINE 50 MG TABLET,50 mg,Tablet,Oral,C-II,meperidine HCl,OPIOID ANALGESICS,ANALGESICS
74227712,VICOPROFEN 7.5 MG-200 MG TABLET,7.5-200 mg,Tablet,Oral,C-II,hydrocodone/ibuprofen,OPIOID ANALGESIC AND NSAID COMBINATION,ANALGESICS
74227714,VICOPROFEN 7.5 MG-200 MG TABLET,7.5-200 mg,Tablet,Oral,C-II,hydrocodone/ibuprofen,OPIOID ANALGESIC AND NSAID COMBINATION,ANALGESICS
74227754,VICOPROFEN 7.5 MG-200 MG TABLET,7.5-200 mg,Tablet,Oral,C-II,hydrocodone/ibuprofen,OPIOID ANALGESIC AND NSAID COMBINATION,ANALGESICS
74304113,VICODIN 5 MG-300 MG TABLET,5-300 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
74304153,VICODIN 5 MG-300 MG TABLET,5-300 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
74304313,VICODIN ES 7.5 MG-300 MG TABLET,7.5-300 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
74304353,VICODIN ES 7.5 MG-300 MG TABLET,7.5-300 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
74305413,VICODIN HP 10 MG-300 MG TABLET,10-300 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
74305453,VICODIN HP 10 MG-300 MG TABLET,10-300 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
93005001,ACETAMINOPHEN 300 MG-CODEINE 15 MG TABLET,300-15 mg,Tablet,Oral,C-III,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
93005801,TRAMADOL 50 MG TABLET,50 mg,Tablet,Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
93005805,TRAMADOL 50 MG TABLET,50 mg,Tablet,Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
93015001,ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET,300-30 mg,Tablet,Oral,C-III,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
93015010,ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET,300-30 mg,Tablet,Oral,C-III,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
93035001,ACETAMINOPHEN 300 MG-CODEINE 60 MG TABLET,300-60 mg,Tablet,Oral,C-III,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
93035005,ACETAMINOPHEN 300 MG-CODEINE 60 MG TABLET,300-60 mg,Tablet,Oral,C-III,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
93035010,ACETAMINOPHEN 300 MG-CODEINE 60 MG TABLET,300-60 mg,Tablet,Oral,C-III,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
93360040,BUPRENORPHINE 5 MCG/HOUR WEEKLY TRANSDERMAL PATCH,5 mcg/hour,Patch Weekly,Transdermal,C-III,buprenorphine,OPIOID ANALGESICS,ANALGESICS
93360140,BUPRENORPHINE 10 MCG/HOUR WEEKLY TRANSDERMAL PATCH,10 mcg/hour,Patch Weekly,Transdermal,C-III,buprenorphine,OPIOID ANALGESICS,ANALGESICS
93360240,BUPRENORPHINE 15 MCG/HOUR WEEKLY TRANSDERMAL PATCH,15 mcg/hour,Patch Weekly,Transdermal,C-III,buprenorphine,OPIOID ANALGESICS,ANALGESICS
93360340,BUPRENORPHINE 20 MCG/HOUR WEEKLY TRANSDERMAL PATCH,20 mcg/hour,Patch Weekly,Transdermal,C-III,buprenorphine,OPIOID ANALGESICS,ANALGESICS
93516101,HYDROCODONE 7.5 MG-IBUPROFEN 200 MG TABLET,7.5-200 mg,Tablet,Oral,C-II,hydrocodone/ibuprofen,OPIOID ANALGESIC AND NSAID COMBINATION,ANALGESICS
93573101,"OXYCODONE ER 10 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",10 mg,"tablet,oral only,ER12 hr",Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
93573201,"OXYCODONE ER 20 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",20 mg,"tablet,oral only,ER12 hr",Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
93573301,"OXYCODONE ER 40 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",40 mg,"tablet,oral only,ER12 hr",Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
93573401,"OXYCODONE ER 80 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",80 mg,"tablet,oral only,ER12 hr",Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
93586101,OXYMORPHONE 5 MG TABLET,5 MG,Tablet,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
93586201,OXYMORPHONE 10 MG TABLET,10 MG,Tablet,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
93690245,FENTANYL 75 MCG/HR TRANSDERM PATCH,75 mcg/hr patch,Patch 72 hr,Transdermal,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
93786565,FENTANYL 200 MCG LOZENGE ON A HANDLE,200 MCG,Lozenge on a Handle,Buccal,C-II,fentanyl citrate,OPIOID ANALGESICS,ANALGESICS
93786619,FENTANYL 400 MCG LOZENGE ON A HANDLE,400 MCG,Lozenge on a Handle,Buccal,C-II,fentanyl citrate,OPIOID ANALGESICS,ANALGESICS
93786665,FENTANYL 400 MCG LOZENGE ON A HANDLE,400 MCG,Lozenge on a Handle,Buccal,C-II,fentanyl citrate,OPIOID ANALGESICS,ANALGESICS
93786765,FENTANYL 600 MCG LOZENGE ON A HANDLE,600 MCG,Lozenge on a Handle,Buccal,C-II,fentanyl citrate,OPIOID ANALGESICS,ANALGESICS
93786865,FENTANYL 800 MCG LOZENGE ON A HANDLE,800 MCG,Lozenge on a Handle,Buccal,C-II,fentanyl citrate,OPIOID ANALGESICS,ANALGESICS
93786965,"FENTANYL 1,200 MCG LOZENGE ON A HANDLE",1200 MCG,Lozenge on a Handle,Buccal,C-II,fentanyl citrate,OPIOID ANALGESICS,ANALGESICS
93787065,"FENTANYL 1,600 MCG LOZENGE ON A HANDLE",1600 MCG,Lozenge on a Handle,Buccal,C-II,fentanyl citrate,OPIOID ANALGESICS,ANALGESICS
95067416,ZOLVIT 10 MG-300 MG/15 ML ORAL SOLUTION,10-300 mg/15 mL,Solution,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
95909016,LORTAB ELIXIR 10 MG-300 MG/15 ML ORAL SOLUTION,10-300 mg/15 mL,Solution,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
115123101,"OXYMORPHONE ER 5 MG TABLET,EXTENDED RELEASE,12 HR",5 mg,Tablet ER 12 hr,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
115123113,"OXYMORPHONE ER 5 MG TABLET,EXTENDED RELEASE,12 HR",5 mg,Tablet ER 12 hr,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
115123201,"OXYMORPHONE ER 10 MG TABLET,EXTENDED RELEASE,12 HR",10 mg,Tablet ER 12 hr,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
115123213,"OXYMORPHONE ER 10 MG TABLET,EXTENDED RELEASE,12 HR",10 mg,Tablet ER 12 hr,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
115123301,"OXYMORPHONE ER 20 MG TABLET,EXTENDED RELEASE,12 HR",20 mg,Tablet ER 12 hr,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
115123313,"OXYMORPHONE ER 20 MG TABLET,EXTENDED RELEASE,12 HR",20 mg,Tablet ER 12 hr,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
115123401,"OXYMORPHONE ER 40 MG TABLET,EXTENDED RELEASE,12 HR",40 mg,Tablet ER 12 hr,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
115123413,"OXYMORPHONE ER 40 MG TABLET,EXTENDED RELEASE,12 HR",40 mg,Tablet ER 12 hr,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
115127701,"MORPHINE ER 20 MG CAPSULE,EXTENDED RELEASE PELLETS",20 MG,"Capsule, ER Pellets",Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
115127801,"MORPHINE ER 30 MG CAPSULE,EXTENDED RELEASE PELLETS",30 MG,"Capsule, ER Pellets",Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
115127901,"MORPHINE ER 50 MG CAPSULE,EXTENDED RELEASE PELLETS",50 MG,"Capsule, ER Pellets",Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
115128001,"MORPHINE ER 60 MG CAPSULE,EXTENDED RELEASE PELLETS",60 MG,"Capsule, ER Pellets",Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
115128201,"MORPHINE ER 100 MG CAPSULE,EXTENDED RELEASE PELLETS",100 MG,"Capsule, ER Pellets",Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
115131501,"OXYMORPHONE ER 7.5 MG TABLET,EXTENDED RELEASE,12 HR",7.5 MG,Tablet ER 12 hr,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
115131513,"OXYMORPHONE ER 7.5 MG TABLET,EXTENDED RELEASE,12 HR",7.5 MG,Tablet ER 12 hr,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
115131601,"OXYMORPHONE ER 15 MG TABLET,EXTENDED RELEASE,12 HR",15 MG,Tablet ER 12 hr,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
115131613,"OXYMORPHONE ER 15 MG TABLET,EXTENDED RELEASE,12 HR",15 MG,Tablet ER 12 hr,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
115131701,"OXYMORPHONE ER 30 MG TABLET,EXTENDED RELEASE,12 HR",30 mg,Tablet ER 12 hr,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
115131713,"OXYMORPHONE ER 30 MG TABLET,EXTENDED RELEASE,12 HR",30 mg,Tablet ER 12 hr,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
115155601,"OXYCODONE ER 10 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",10 mg,"tablet,oral only,ER12 hr",Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
115155701,"OXYCODONE ER 15 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",15 mg,"tablet,oral only,ER12 hr",Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
115155801,"OXYCODONE ER 20 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",20 mg,"tablet,oral only,ER12 hr",Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
115155901,"OXYCODONE ER 30 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",30 mg,"tablet,oral only,ER12 hr",Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
115156001,"OXYCODONE ER 40 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",40 mg,"tablet,oral only,ER12 hr",Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
115156101,"OXYCODONE ER 60 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",60 mg,"tablet,oral only,ER12 hr",Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
115156201,"OXYCODONE ER 80 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",80 mg,"tablet,oral only,ER12 hr",Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
121050400,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION,120 mg-12 mg /5 mL (5 mL),Solution,Oral,C-V,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
121050404,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML ORAL SOLN,120-12 mg/ 5ml,Solution,Oral,C-V,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
121050405,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION,120 mg-12 mg /5 mL (5 mL),Solution,Oral,C-V,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
121050416,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML ORAL SOLN,120-12 mg/ 5ml,Solution,Oral,C-V,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
121065504,HYDROCODONE 7.5 MG-ACETAMINOPHEN 500 MG/15 ML ORAL SOLUTION,7.5-500 mg/15 mL,Solution,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
121065516,HYDROCODONE 7.5 MG-ACETAMINOPHEN 500 MG/15 ML ORAL SOLUTION,7.5-500 mg/15 mL,Solution,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
121077204,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG/15 ML ORAL SOLUTION,7.5-325 mg/15 mL,Solution,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
121077216,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG/15 ML ORAL SOLUTION,7.5-325 mg/15 mL,Solution,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
121465505,HYDROCODONE 2.5 MG-ACETAMINOPHEN 167 MG/5 ML ORAL SOLUTION,2.5-167 mg/5 mL,Solution,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
121465510,HYDROCODONE 5 MG-ACETAMINOPHEN 334 MG/10 ML ORAL SOLUTION,5-334 mg/10 mL,Solution,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
121477115,HYDROCODONE-ACETAMINOPHEN 10 MG-325 MG/15 ML (15 ML) ORAL SOLUTION,10-325 mg/15 mL(15 mL),Solution,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
121477210,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG/15 ML ORAL SOLUTION,7.5-325 mg/15 mL,Solution,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
121483940,OXYCODONE 5 MG/5 ML ORAL SOLN,5 mg/5 mL,Solution,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
143300001,BUTALBITAL 50 MG-ACETAMINOPHEN 325 MG-CAFFEINE 40 MG-CODEINE 30 MG CAP,50-325-40-30 mg,Capsule,Oral,C-III,butalbit/acetamin/caff/codeine,"OPIOID,NON-SALICYL.ANALGESIC,BARBITURATE,XANTHINE",ANALGESICS
172635910,TRAMADOL 37.5 MG-ACETAMINOPHEN 325 MG TABLET,37.5-325 mg,Tablet,Oral,C-IV,tramadol HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
172635960,TRAMADOL 37.5 MG-ACETAMINOPHEN 325 MG TABLET,37.5-325 mg,Tablet,Oral,C-IV,tramadol HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
172635970,TRAMADOL 37.5 MG-ACETAMINOPHEN 325 MG TABLET,37.5-325 mg,Tablet,Oral,C-IV,tramadol HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
179011630,HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET,10-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
185074901,CARISOPRODOL-ASA-CODEINE 200 MG-325 MG-16 MG TABLET,200-325-16 mg,Tablet,Oral,C-III,carisoprodol/aspirin/codeine,"SKELETAL MUSCLE RELAXANT,SALICYLAT,OPIOID ANALGESC",ANALGESICS
187000301,CAPITAL WITH CODEINE 120 MG-12 MG/5 ML ORAL SUSPENSION,120-12 mg/5 mL,Suspension,Oral,C-V,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
228287611,OXYCODONE 5 MG TABLET,5 MG,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
228287811,OXYCODONE 15 MG TABLET,15 MG,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
228287911,OXYCODONE 30 MG TABLET,30 MG,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
228298111,OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET,5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
228298150,OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET,5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
